Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,lab_host,sample_type,strain,Host,isolate,isolation_source,Collection_Date,Note
SRR11746543,WGS,2862,185717744,PRJNA631468,SAMN14864047,"Microbe\, viral or environmental",167418976,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX8299882,MinION,HB27c_Nano,SINGLE,unspecified,GENOMIC,Thermus thermophilus,OXFORD_NANOPORE,2020-05-10T00:00:00Z,2020-05-10T14:18:00Z,1,"Thermus thermophilus HB27c DNA, complete genome",SRP260977,,overnight culture obtained from a single clone,HB27c,,,missing,,model laboratory strain
SRR11746544,WGS,502,317950736,PRJNA631468,SAMN14864047,"Microbe\, viral or environmental",215885134,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX8299881,Illumina MiSeq,HB27c_Ill,PAIRED,unspecified,GENOMIC,Thermus thermophilus,ILLUMINA,2020-05-10T00:00:00Z,2020-05-10T14:17:00Z,1,"Thermus thermophilus HB27c DNA, complete genome",SRP260977,,overnight culture obtained from a single clone,HB27c,,,missing,,model laboratory strain
SRR11824631,WGS,150,30454650,PRJNA631468,SAMN14983641,Viral,12382260,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX8375179,Illumina MiSeq,phiFa_ORF42escapers_isolate2_WGS,PAIRED,unspecified,GENOMIC,Thermus phage phiFa,ILLUMINA,2020-05-22T00:00:00Z,2020-05-22T11:29:00Z,1,phiFa_ORF42escapers_monoisolates,SRP260977,T. thermophilus HB27c,,,T. thermophilus,monoisolate,culture of T. thermophilus HB27c with a spacer targeting ORF42 (Fa_E42) infected with WT phiFa,2019,
SRR11824632,WGS,150,39904950,PRJNA631468,SAMN14983641,Viral,16314690,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX8375178,Illumina MiSeq,phiFa_ORF42escapers_isolate1_WGS,PAIRED,unspecified,GENOMIC,Thermus phage phiFa,ILLUMINA,2020-05-22T00:00:00Z,2020-05-22T11:29:00Z,1,phiFa_ORF42escapers_monoisolates,SRP260977,T. thermophilus HB27c,,,T. thermophilus,monoisolate,culture of T. thermophilus HB27c with a spacer targeting ORF42 (Fa_E42) infected with WT phiFa,2019,
SRR11824633,WGS,150,8605650,PRJNA631468,SAMN14983640,Viral,3409710,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX8375177,Illumina MiSeq,phiFa_ORF44escapers_isolate2_WGS,PAIRED,unspecified,GENOMIC,Thermus phage phiFa,ILLUMINA,2020-05-22T00:00:00Z,2020-05-22T11:29:00Z,1,phiFa_ORF44escapers_monoisolates,SRP260977,T. thermophilus HB27c,,,T. thermophilus,monoisolate,culture of T. thermophilus HB27c with a spacer targeting ORF44 (Fa_E44) infected with WT phiFa,2019,
SRR11824634,WGS,150,56166000,PRJNA631468,SAMN14983640,Viral,22260159,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX8375176,Illumina MiSeq,phiFa_ORF44escapers_isolate1_WGS,PAIRED,unspecified,GENOMIC,Thermus phage phiFa,ILLUMINA,2020-05-22T00:00:00Z,2020-05-22T11:33:00Z,1,phiFa_ORF44escapers_monoisolates,SRP260977,T. thermophilus HB27c,,,T. thermophilus,monoisolate,culture of T. thermophilus HB27c with a spacer targeting ORF44 (Fa_E44) infected with WT phiFa,2019,
SRR11824635,WGS,150,60374550,PRJNA631468,SAMN14983639,Viral,25648345,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX8375175,Illumina MiSeq,phiFa_WT(control)_WGS,PAIRED,unspecified,GENOMIC,Thermus phage phiFa,ILLUMINA,2020-05-22T00:00:00Z,2020-05-22T11:24:00Z,1,phiFa_WT(control),SRP260977,T. thermophilus HB27c,,,T. thermophilus,monoisolate,,,
SRR11818503,AMPLICON,302,203660646,PRJNA631468,SAMN14973004,Viral,84468123,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX8369471,Illumina MiSeq,phiFa_ORF42_ecs,PAIRED,PCR,GENOMIC,Thermus phage phiFa,ILLUMINA,2020-05-20T00:00:00Z,2020-05-20T13:05:00Z,1,phiFa_ORF42_escapers,SRP260977,T. thermophilus HB27c Fa_E42,,,T. thermophilus,multi isolate,,,
SRR11818504,AMPLICON,302,280164494,PRJNA631468,SAMN14973003,Viral,111186028,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX8369470,Illumina MiniSeq,phiFa_ORF44_ecs,PAIRED,PCR,GENOMIC,Thermus phage phiFa,ILLUMINA,2020-05-20T00:00:00Z,2020-05-20T13:06:00Z,1,phiFa_ORF44_ecsapers,SRP260977,T. thermophilus HB27c Fa_E44,,,T. thermophilus,multi isolate,,,
SRR11818505,AMPLICON,302,301336506,PRJNA631468,SAMN14970653,"Microbe\, viral or environmental",134325663,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX8369475,Illumina MiSeq,TTHB27c_phiFa_CRISPR-11_rep2,PAIRED,PCR,GENOMIC,Thermus thermophilus,ILLUMINA,2020-05-21T00:00:00Z,2020-05-20T13:05:00Z,1,Thermus thermophilus HB27c infected with phiFa phage,SRP260977,,bacterial culture infected with a phage,HB27c,,,,,
SRR11818506,AMPLICON,610,397930450,PRJNA631468,SAMN14970653,"Microbe\, viral or environmental",254830174,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX8369474,Illumina MiSeq,TTHB27c_phiFa_CRISPR-11_rep1,PAIRED,PCR,GENOMIC,Thermus thermophilus,ILLUMINA,2020-05-21T00:00:00Z,2020-05-20T13:06:00Z,1,Thermus thermophilus HB27c infected with phiFa phage,SRP260977,,bacterial culture infected with a phage,HB27c,,,,,
SRR11818507,AMPLICON,602,95891978,PRJNA631468,SAMN14970653,"Microbe\, viral or environmental",49187304,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX8369473,Illumina MiSeq,TTHB27c_phiFa_CRISPR-2_rep2,PAIRED,PCR,GENOMIC,Thermus thermophilus,ILLUMINA,2020-05-21T00:00:00Z,2020-05-20T13:05:00Z,1,Thermus thermophilus HB27c infected with phiFa phage,SRP260977,,bacterial culture infected with a phage,HB27c,,,,,
SRR11818508,AMPLICON,502,301327006,PRJNA631468,SAMN14970653,"Microbe\, viral or environmental",185801986,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX8369472,Illumina MiSeq,TTHB27c_phiFa_CRISPR-2_rep1,PAIRED,PCR,GENOMIC,Thermus thermophilus,ILLUMINA,2020-05-21T00:00:00Z,2020-05-20T16:08:00Z,1,Thermus thermophilus HB27c infected with phiFa phage,SRP260977,,bacterial culture infected with a phage,HB27c,,,,,
SRR12227011,AMPLICON,502,545981224,PRJNA631468,SAMN15543011,"Microbe\, viral or environmental",317983388,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX8735603,Illumina MiSeq,TTHB27c_phiKo_CRISPR-11_rep2,PAIRED,PCR,GENOMIC,Thermus thermophilus,ILLUMINA,2020-07-15T00:00:00Z,2020-07-15T11:21:00Z,1,Thermus thermophilus HB27c infected with phiKo phage,SRP260977,,bacterial culture infected with a phage,HB27c,,,,,
SRR12227012,AMPLICON,610,390719640,PRJNA631468,SAMN15543011,"Microbe\, viral or environmental",254578594,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX8735602,Illumina MiSeq,TTHB27c_phiKo_CRISPR-11_rep1,PAIRED,PCR,GENOMIC,Thermus thermophilus,ILLUMINA,2020-07-15T00:00:00Z,2020-07-15T11:20:00Z,1,Thermus thermophilus HB27c infected with phiKo phage,SRP260977,,bacterial culture infected with a phage,HB27c,,,,,
SRR12227013,AMPLICON,502,419792982,PRJNA631468,SAMN15543011,"Microbe\, viral or environmental",260525925,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX8735601,Illumina MiSeq,TTHB27c_phiKo_CRISPR-2_rep2,PAIRED,PCR,GENOMIC,Thermus thermophilus,ILLUMINA,2020-07-15T00:00:00Z,2020-07-15T11:21:00Z,1,Thermus thermophilus HB27c infected with phiKo phage,SRP260977,,bacterial culture infected with a phage,HB27c,,,,,
SRR12227014,AMPLICON,508,809269908,PRJNA631468,SAMN15543011,"Microbe\, viral or environmental",455244917,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX8735600,Illumina MiSeq,TTHB27c_phiKo_CRISPR-2_rep1,PAIRED,PCR,GENOMIC,Thermus thermophilus,ILLUMINA,2020-07-15T00:00:00Z,2020-07-15T11:22:00Z,1,Thermus thermophilus HB27c infected with phiKo phage,SRP260977,,bacterial culture infected with a phage,HB27c,,,,,
SRR12281644,RNA-Seq,55,285295725,PRJNA631468,SAMN15569106,Viral,108828705,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX8785497,Illumina MiSeq,RNA_TTHB27c_phiKo_70min_rep2,SINGLE,unspecified,TRANSCRIPTOMIC,Thermus phage phiKo,ILLUMINA,2020-07-21T00:00:00Z,2020-07-21T15:07:00Z,1,T. thermophilus HB27c infected with phiKo phage_ total RNA,SRP260977,Thermus thermophilus HB27,,,,,,,
SRR12281645,RNA-Seq,55,342820170,PRJNA631468,SAMN15569106,Viral,130163540,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX8785496,Illumina MiSeq,RNA_TTHB27c_phiKo_70min_rep1,SINGLE,unspecified,TRANSCRIPTOMIC,Thermus phage phiKo,ILLUMINA,2020-07-21T00:00:00Z,2020-07-21T15:07:00Z,1,T. thermophilus HB27c infected with phiKo phage_ total RNA,SRP260977,Thermus thermophilus HB27,,,,,,,
SRR12281646,RNA-Seq,55,272552610,PRJNA631468,SAMN15569106,Viral,104098158,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX8785495,Illumina MiSeq,RNA_TTHB27c_phiKo_50min_rep2,SINGLE,unspecified,TRANSCRIPTOMIC,Thermus phage phiKo,ILLUMINA,2020-07-21T00:00:00Z,2020-07-21T15:06:00Z,1,T. thermophilus HB27c infected with phiKo phage_ total RNA,SRP260977,Thermus thermophilus HB27,,,,,,,
SRR12281647,RNA-Seq,55,287005235,PRJNA631468,SAMN15569106,Viral,110112795,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX8785494,Illumina MiSeq,RNA_TTHB27c_phiKo_50min_rep1,SINGLE,unspecified,TRANSCRIPTOMIC,Thermus phage phiKo,ILLUMINA,2020-07-21T00:00:00Z,2020-07-21T15:06:00Z,1,T. thermophilus HB27c infected with phiKo phage_ total RNA,SRP260977,Thermus thermophilus HB27,,,,,,,
SRR12281648,RNA-Seq,55,245335640,PRJNA631468,SAMN15569106,Viral,94451099,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX8785493,Illumina MiSeq,RNA_TTHB27c_phiKo_30min_rep2,SINGLE,unspecified,TRANSCRIPTOMIC,Thermus phage phiKo,ILLUMINA,2020-07-21T00:00:00Z,2020-07-21T15:06:00Z,1,T. thermophilus HB27c infected with phiKo phage_ total RNA,SRP260977,Thermus thermophilus HB27,,,,,,,
SRR12281649,RNA-Seq,55,293872975,PRJNA631468,SAMN15569106,Viral,112225547,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX8785492,Illumina MiSeq,RNA_TTHB27c_phiKo_30min_rep1,SINGLE,unspecified,TRANSCRIPTOMIC,Thermus phage phiKo,ILLUMINA,2020-07-21T00:00:00Z,2020-07-21T15:06:00Z,1,T. thermophilus HB27c infected with phiKo phage_ total RNA,SRP260977,Thermus thermophilus HB27,,,,,,,
SRR12281650,RNA-Seq,55,253991485,PRJNA631468,SAMN15569106,Viral,97570242,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8785491,Illumina MiSeq,RNA_TTHB27c_phiKo_10min_rep2,SINGLE,unspecified,TRANSCRIPTOMIC,Thermus phage phiKo,ILLUMINA,2020-07-21T00:00:00Z,2020-07-21T15:06:00Z,1,T. thermophilus HB27c infected with phiKo phage_ total RNA,SRP260977,Thermus thermophilus HB27,,,,,,,
SRR12281651,RNA-Seq,55,231521510,PRJNA631468,SAMN15569106,Viral,89203271,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX8785490,Illumina MiSeq,RNA_TTHB27c_phiKo_10min_rep1,SINGLE,unspecified,TRANSCRIPTOMIC,Thermus phage phiKo,ILLUMINA,2020-07-21T00:00:00Z,2020-07-21T15:06:00Z,1,T. thermophilus HB27c infected with phiKo phage_ total RNA,SRP260977,Thermus thermophilus HB27,,,,,,,
SRR12281652,RNA-Seq,55,262801385,PRJNA631468,SAMN15569106,Viral,101252768,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX8785489,Illumina MiSeq,RNA_TTHB27c_phiKo_0min_rep2,SINGLE,unspecified,TRANSCRIPTOMIC,Thermus phage phiKo,ILLUMINA,2020-07-21T00:00:00Z,2020-07-21T15:06:00Z,1,T. thermophilus HB27c infected with phiKo phage_ total RNA,SRP260977,Thermus thermophilus HB27,,,,,,,
SRR12281653,RNA-Seq,55,233978910,PRJNA631468,SAMN15569106,Viral,89938429,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX8785488,Illumina MiSeq,RNA_TTHB27c_phiKo_0min_rep1,SINGLE,unspecified,TRANSCRIPTOMIC,Thermus phage phiKo,ILLUMINA,2020-07-21T00:00:00Z,2020-07-21T15:06:00Z,1,T. thermophilus HB27c infected with phiKo phage_ total RNA,SRP260977,Thermus thermophilus HB27,,,,,,,
